Date,VTI,SPY,EFA,EEM,TLT,IEF,LQD
2004-04-13,36.9533,75.6176,25.5297,12.9442,41.5492,46.8628,45.7608
2004-04-14,36.8318,75.7378,25.2663,12.7533,41.5149,46.8294,45.6986
2004-04-15,36.8487,75.4506,25.0906,12.6474,41.2699,46.7627,45.5078
2004-04-16,37.0241,76.0317,25.3595,12.7411,41.4267,46.9351,45.7691
2004-04-19,37.068,76.0317,25.3864,12.7627,41.3385,46.8128,45.6861
2004-04-20,36.4775,74.756,25.0369,12.651,40.9613,46.4736,45.3875
2004-04-21,36.7137,75.2569,25.2071,12.5574,41.1622,46.568,45.4248
2004-04-22,37.2974,76.3123,25.3864,12.5538,41.4071,46.7516,45.6737
2004-04-23,37.2941,76.3858,25.3505,12.6474,41.172,46.557,45.4787
2004-04-26,37.1355,76.2789,25.3433,12.4674,41.2405,46.5514,45.4829
2004-04-27,37.2199,76.3457,25.3684,12.4011,41.3973,46.7349,45.6986
2004-04-28,36.6968,75.3571,24.9007,12.046,41.0103,46.429,45.4206
2004-04-29,36.3493,74.6959,24.6336,11.6492,40.8094,46.3234,45.2174
2004-04-30,36.0557,74.1147,24.5171,11.4014,40.976,46.4346,45.2174
2004-05-03,36.4404,74.9096,24.768,11.5159,41.0276,46.4167,45.2765
2004-05-04,36.4775,74.8495,25.0835,11.7414,40.7473,46.2829,45.1266
2004-05-05,36.6293,75.3304,25.3595,11.7702,40.6342,46.1769,45.06
2004-05-06,36.2683,74.6825,24.8218,11.526,40.526,46.1322,44.8559
2004-05-07,35.7621,73.4468,24.1497,11.2667,39.9948,45.5632,44.2728
2004-05-10,35.2661,72.6921,23.5314,10.7229,39.9014,45.552,43.9438
2004-05-11,35.5731,73.3065,23.7017,11.0413,40.0833,45.6413,44.0312
2004-05-12,35.7014,73.7741,23.854,11.0449,39.8178,45.5744,44.0479
2004-05-13,35.6001,73.4668,23.6031,11.0161,39.6653,45.4348,43.8147
2004-05-14,35.5866,73.5002,23.5834,10.7258,39.9899,45.6636,44.0812
2004-05-17,35.1817,72.8724,23.3253,10.2966,40.344,45.9593,44.2936
2004-05-18,35.4618,73.2397,23.5727,10.6027,40.1866,45.87,44.3561
2004-05-19,35.4145,72.9859,23.8056,10.8958,40.0538,45.658,44.2103
2004-05-20,35.428,73.2197,23.8361,10.8288,40.3637,45.8867,44.456
2004-05-21,35.563,73.3466,24.0117,11.0067,40.2014,45.7863,44.4185
2004-05-24,35.698,73.6539,24.1659,11.1781,40.3293,45.8198,44.5977
2004-05-25,36.302,74.7092,24.5261,11.4245,40.4473,45.8365,44.6434
2004-05-26,36.3763,74.9697,24.4813,11.3798,40.6637,46.0653,44.8433
2004-05-27,36.545,75.3905,24.9473,11.5599,40.9834,46.3163,45.0475
2004-05-28,36.5787,75.3838,24.7967,11.5346,40.8703,46.188,44.9808
2004-06-01,36.6125,75.2836,24.8559,11.4547,40.496,45.958,44.7407
2004-06-02,36.7137,75.5641,24.9275,11.4547,40.3923,45.8795,44.6237
2004-06-03,36.4201,74.8695,24.6874,11.2005,40.4762,45.9524,44.7407
2004-06-04,36.6394,75.464,24.9831,11.3654,40.2393,45.762,44.5819
2004-06-07,37.1861,76.6129,25.5351,11.7579,40.2492,45.8292,44.6404
2004-06-08,37.2333,76.7197,25.3917,11.5944,40.3232,45.818,44.6446
2004-06-09,36.9027,76.005,24.9562,11.3323,40.1504,45.6837,44.4481
2004-06-10,36.987,76.3791,25.2519,11.3452,40.2294,45.734,44.4731
2004-06-14,36.6057,75.6243,24.6444,10.908,39.9084,45.5102,44.2473
2004-06-15,36.906,76.1587,25.0817,11.1191,40.7528,46.1147,44.7492
2004-06-16,36.933,76.1452,25.0727,10.97,40.5947,46.0139,44.7533
2004-06-17,36.9229,76.0317,25.234,11.0247,40.8614,46.1427,44.8411
2004-06-18,36.933,76.1752,25.2788,10.9621,40.7725,46.0475,44.7868
2004-06-21,36.8419,75.8869,25.1892,11.0125,40.8021,46.1203,44.8662
2004-06-22,36.9398,76.269,25.2,11.1292,40.6787,46.0587,44.8035
2004-06-23,37.3211,76.926,25.3595,11.3272,40.7577,46.1259,44.7742
